Open Time,Open,High,Low,Close,Volume,Close Time,QAV,No. Trades,Taker BBAV,Taker BQAV,Ignore
1616181420000,326107.00000000,326110.00000000,325864.00000000,326100.00000000,0.01361800,1616181479999,4439.09490900,26,0.00625600,2040.08414100,0
1616181480000,326100.00000000,326110.00000000,325791.00000000,325800.00000000,0.16689500,1616181539999,54387.70710500,24,0.01102300,3594.61098600,0
1616181540000,326099.00000000,326099.00000000,325800.00000000,325999.00000000,0.17841200,1616181599999,58131.18882600,17,0.02262200,7374.80104100,0
1616181600000,325999.00000000,325999.00000000,325800.00000000,325999.00000000,0.04669800,1616181659999,15216.76316200,9,0.01283800,4185.17516200,0
1616181660000,325999.00000000,325999.00000000,325800.00000000,325999.00000000,0.06399100,1616181719999,20860.36242300,17,0.06077700,19813.24122300,0
1616181720000,325999.00000000,326108.00000000,325905.00000000,326108.00000000,0.18288300,1616181779999,59630.54139700,41,0.17432900,56842.75002700,0
1616181780000,326108.00000000,326390.00000000,325913.00000000,326136.00000000,0.15449100,1616181839999,50393.99663900,27,0.13048400,42564.51592500,0
1616181840000,326390.00000000,326663.00000000,326136.00000000,326663.00000000,0.05939100,1616181899999,19386.93781400,20,0.05918700,19320.40006400,0
1616181900000,326663.00000000,326697.00000000,326325.00000000,326696.00000000,0.00696600,1616181959999,2275.55680300,18,0.00681400,2225.95540300,0
1616181960000,326697.00000000,326700.00000000,326458.00000000,326700.00000000,0.08310500,1616182019999,27136.95693100,27,0.01910000,6239.93229000,0
1616182020000,326699.00000000,326699.00000000,326457.00000000,326459.00000000,0.04095400,1616182079999,13371.10230600,15,0.00568400,1856.94946400,0
1616182080000,326696.00000000,326700.00000000,326463.00000000,326698.00000000,0.62641800,1616182139999,204649.33978700,21,0.62088800,202843.70690300,0
1616182140000,326698.00000000,326700.00000000,326316.00000000,326316.00000000,0.62374300,1616182199999,203624.39459500,48,0.10997200,35927.57522000,0
1616182200000,326320.00000000,326686.00000000,326285.00000000,326648.00000000,0.01433500,1616182259999,4681.86688200,20,0.01048600,3425.44173800,0
1616182260000,326642.00000000,326642.00000000,326302.00000000,326629.00000000,0.03345500,1616182319999,10925.21852000,27,0.02539600,8295.24370500,0
1616182320000,326400.00000000,326628.00000000,326306.00000000,326628.00000000,0.01134000,1616182379999,3702.16043500,12,0.00517700,1690.87770700,0
1616182380000,326628.00000000,326628.00000000,326398.00000000,326405.00000000,0.00826100,1616182439999,2698.03853900,10,0.00722800,2360.86718400,0
1616182440000,326628.00000000,326641.00000000,326491.00000000,326641.00000000,0.23715800,1616182499999,77463.38624300,22,0.23452300,76603.08245800,0
1616182500000,326500.00000000,326700.00000000,326500.00000000,326700.00000000,0.97196400,1616182559999,317536.36162600,43,0.79832000,260810.70254900,0
1616182560000,326700.00000000,326700.00000000,326500.00000000,326689.00000000,0.08046700,1616182619999,26287.16202900,22,0.06741900,22025.68244500,0
1616182620000,326508.00000000,327000.00000000,326508.00000000,326912.00000000,0.56578700,1616182679999,184860.51591100,48,0.53796800,175769.51633100,0
1616182680000,327100.00000000,327249.00000000,326912.00000000,327241.00000000,0.09599400,1616182739999,31385.91538200,21,0.00191200,625.61947700,0
1616182740000,326939.00000000,327238.00000000,326920.00000000,326920.00000000,0.22650200,1616182799999,74056.93911900,29,0.01294500,4236.03925200,0
1616182800000,326700.00000000,327069.00000000,326433.00000000,327063.00000000,0.40410900,1616182859999,132002.80255700,25,0.03174400,10379.27539100,0
1616182860000,327061.00000000,327063.00000000,326707.00000000,327063.00000000,0.01422000,1616182919999,4650.77488900,9,0.01406300,4599.48189000,0
1616182920000,327063.00000000,327233.00000000,326882.00000000,326888.00000000,0.10535400,1616182979999,34443.25527100,19,0.02300900,7525.66505300,0
1616182980000,327062.00000000,327063.00000000,326750.00000000,326750.00000000,0.23437900,1616183039999,76624.66418500,18,0.06665800,21801.30860300,0
1616183040000,327061.00000000,327061.00000000,326436.00000000,326436.00000000,0.23991800,1616183099999,78409.38145900,17,0.00046000,150.44628300,0
1616183100000,326750.00000000,327018.00000000,326439.00000000,326979.00000000,0.00613200,1616183159999,2004.45882300,14,0.00479800,1568.73672000,0
