,path,conversions
0,google / organic,231
1,l.instagram.com / referral,228
2,(direct) / (none),204
3,m.facebook.com / referral,179
4,PK - Sapphire Brand Campaign,138
5,m.facebook.com / referral > (direct) / (none),105
6,(direct) / (none) > (direct) / (none),89
7,google / organic > (direct) / (none),85
8,(direct) / (none) > (direct) / (none) > (direct) / (none),67
9,m.facebook.com / referral > (direct) / (none) > (direct) / (none),66
10,google / organic > (direct) / (none) > (direct) / (none),60
11,Traffic - Winter 1 2018,58
12,PK - Sapphire Brand Campaign > (direct) / (none),48
13,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),46
14,m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),43
15,l.instagram.com / referral > (direct) / (none),42
16,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign,36
17,Conversions - Winter 1 -Aura A,36
18,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),34
19,m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),30
20,lm.facebook.com / referral,28
21,(direct) / (none) > m.facebook.com / referral,27
22,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),27
23,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),27
24,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),27
25,ROW - Sapphire Brand Campaign,24
26,l.facebook.com / referral,23
